"id_mat_rule"|"mat_general"|"astm_grade"|"incl_all"|"incl_any"|"not_any"
"1"|"CS"|"A105"|"A105"|"A105"|"SA105"
"2"|"CS"|"A105 N"|"A105"|"A105|A105 N"|"SA105"
"3"|"CS"|"A106-B SMLS"|"A106|B|SMLS"|"A106-B|A106 B|A106 GR B|A106 GRADE B|A106-B SMLS|A106 B SMLS"|"SA106-B"
"4"|"CS"|"A197"|"A197"|"A197"|"SA197"
"5"|"CS"|"A216-WCB"|"A216|WCB"|"A216-WCB|A216 WCB|A216 GR WCB|A216 GRADE WCB"|"SA216-WCB"
"6"|"CS"|"A234-WPB"|"A234|WPB|WP"|"A234-WPB|A234 WPB|A234 GR WPB|A234 GRADE WPB"|"SA234-WPB"
"7"|"CS"|"A234-WPB SMLS"|"A234|WPB|SMLS|WP"|"A234-WPB|A234 WPB|A234 GR WPB|A234 GRADE WPB|A234-WPB SMLS|A234 WPB SMLS"|"SA234-WPB"
"8"|"CS"|"A234-WPB WLD"|"A234|WPB|WLD|WP"|"A234-WPB|A234 WPB|A234 GR WPB|A234 GRADE WPB|A234-WPB WLD|A234 WPB WLD"|"SA234-WPB"
"9"|"CS"|"A276"|"A276"|"A276"|"SA276"
"10"|"CS"|"A36"|"A36"|"A36"|"SA36"
"11"|"CS"|"A516-70"|"A516|70"|"A516-70|A516 70|A516 GR 70|A516 GRADE 70"|"SA516-70"
"12"|"CS"|"A516-70N"|"A516|70N"|"A516-70N|A516 70N|A516 GR 70N|A516 GRADE 70N"|"SA516-70N"
"13"|"CS"|"A536"|"A536"|"A536"|"SA536"
"14"|"CS"|"A53-A"|"A53|A"|"A53-A|A53 A|A53 GR A|A53 GRADE A"|"SA53-A"
"15"|"CS"|"A53-A Type F"|"A53|A|TYPE"|"A53-A|A53 A|A53 GR A|A53 GRADE A|A53-A TYPE F|A53 A TYPE F"|"SA53-A"
"16"|"CS"|"A53-B"|"A53|B"|"A53-B|A53 B|A53 GR B|A53 GRADE B"|"SA53-B"
"17"|"CS"|"A53-B SMLS"|"A53|B|SMLS"|"A53-B|A53 B|A53 GR B|A53 GRADE B|A53-B SMLS|A53 B SMLS"|"SA53-B"
"18"|"CS"|"A53-B WLD"|"A53|B|WLD"|"A53-B|A53 B|A53 GR B|A53 GRADE B|A53-B WLD|A53 B WLD"|"SA53-B"
"19"|"CS"|"A53-B_GALV"|"A53|B_GALV|GALV"|"A53-B_GALV|A53 B_GALV|A53 GR B_GALV|A53 GRADE B_GALV"|"SA53-B_GALV"
"20"|"CS"|"A672-C60 WLD"|"A672|C60|WLD"|"A672-C60|A672 C60|A672 GR C60|A672 GRADE C60|A672-C60 WLD|A672 C60 WLD"|"SA672-C60"
"21"|"CS"|"A672-C60/C65"|"A672|C60|C65"|"A672-C60/C65|A672 C60/C65|A672 GR C60/C65|A672 GRADE C60/C65"|"SA672-C60/C65"
"22"|"CS"|"A672-C65 WLD"|"A672|C65|WLD"|"A672-C65|A672 C65|A672 GR C65|A672 GRADE C65|A672-C65 WLD|A672 C65 WLD"|"SA672-C65"
"23"|"CS"|"A694-F42"|"A694|F42"|"A694-F42|A694 F42|A694 GR F42|A694 GRADE F42"|"SA694-F42"
"24"|"CS"|"A860-WPHY-60 EFW"|"A860|WPHY|60|EFW|WP"|"A860-WPHY-60|A860 WPHY 60|A860 WPHY-60|A860 GR WPHY-60|A860 GRADE WPHY-60|A860-WPHY-60 EFW|A860 WPHY 60 EFW"|"SA860-WPHY-60"
"25"|"CS"|"API 5L-B"|""|"API|API 5L-B|API 5L B"|""
"26"|"CS"|"API 5L-X-60MS, SAWL, PSL2 STR SM ANNEX H, JE= 100%, PSL2 IMPACT TEST 15� F"|"SAWL|PSL2"|"API|API 5L-X-60MS, SAWL, PSL2 STR SM ANNEX H, JE= 100%, PSL2 IMPACT TEST 15� F|API 5L X 60MS, SAWL, PSL2 STR SM ANNEX H, JE= 100%, PSL2 IMPACT TEST 15� F"|""
"27"|"CS"|"SA105"|"SA105"|"SA105"|""
"28"|"CS"|"SA106-B SMLS"|"SA106|B|SMLS"|"SA106-B|SA106 B|SA106 GR B|SA106 GRADE B|SA106-B SMLS|SA106 B SMLS"|""
"29"|"CS"|"SA234-WPB SMLS"|"SA234|WPB|SMLS|WP"|"SA234-WPB|SA234 WPB|SA234 GR WPB|SA234 GRADE WPB|SA234-WPB SMLS|SA234 WPB SMLS"|""
"30"|"CS"|"SA234-WPB WLD"|"SA234|WPB|WLD|WP"|"SA234-WPB|SA234 WPB|SA234 GR WPB|SA234 GRADE WPB|SA234-WPB WLD|SA234 WPB WLD"|""
"31"|"CS"|"SA516-70"|"SA516|70"|"SA516-70|SA516 70|SA516 GR 70|SA516 GRADE 70"|""
"32"|"LTCS"|"A333-6"|"A333|6"|"A333-6|A333 6|A333 GR 6|A333 GRADE 6"|"SA333-6"
"33"|"LTCS"|"A333-6 SMLS"|"A333|6|SMLS"|"A333-6|A333 6|A333 GR 6|A333 GRADE 6|A333-6 SMLS|A333 6 SMLS"|"SA333-6"
"34"|"LTCS"|"A333-6 WLD"|"A333|6|WLD"|"A333-6|A333 6|A333 GR 6|A333 GRADE 6|A333-6 WLD|A333 6 WLD"|"SA333-6"
"35"|"LTCS"|"A350-LF2"|"A350|LF2"|"A350-LF2|A350 LF2|A350 GR LF2|A350 GRADE LF2"|"SA350-LF2"
"36"|"LTCS"|"A350-LF2-1"|"A350|LF2|1"|"A350-LF2-1|A350 LF2 1|A350 LF2-1|A350 GR LF2-1|A350 GRADE LF2-1"|"SA350-LF2-1"
"37"|"LTCS"|"A420-WPL6"|"A420|WPL6|WP"|"A420-WPL6|A420 WPL6|A420 GR WPL6|A420 GRADE WPL6"|"SA420-WPL6"
"38"|"LTCS"|"A420-WPL6 SMLS"|"A420|WPL6|SMLS|WP"|"A420-WPL6|A420 WPL6|A420 GR WPL6|A420 GRADE WPL6|A420-WPL6 SMLS|A420 WPL6 SMLS"|"SA420-WPL6"
"39"|"LTCS"|"A420-WPL6 WLD"|"A420|WPL6|WLD|WP"|"A420-WPL6|A420 WPL6|A420 GR WPL6|A420 GRADE WPL6|A420-WPL6 WLD|A420 WPL6 WLD"|"SA420-WPL6"
"40"|"LTCS"|"SA333-6"|"SA333|6"|"SA333-6|SA333 6|SA333 GR 6|SA333 GRADE 6"|""
"41"|"LTCS"|"SA333-6 SMLS"|"SA333|6|SMLS"|"SA333-6|SA333 6|SA333 GR 6|SA333 GRADE 6|SA333-6 SMLS|SA333 6 SMLS"|""
"42"|"LTCS"|"SA333-6 WLD"|"SA333|6|WLD"|"SA333-6|SA333 6|SA333 GR 6|SA333 GRADE 6|SA333-6 WLD|SA333 6 WLD"|""
"43"|"LTCS"|"SA350-LF2"|"SA350|LF2"|"SA350-LF2|SA350 LF2|SA350 GR LF2|SA350 GRADE LF2"|""
"44"|"LTCS"|"SA420-WPL6"|"SA420|WPL6|WP"|"SA420-WPL6|SA420 WPL6|SA420 GR WPL6|SA420 GRADE WPL6"|""
"45"|"LTCS"|"SA420-WPL6 SMLS"|"SA420|WPL6|SMLS|WP"|"SA420-WPL6|SA420 WPL6|SA420 GR WPL6|SA420 GRADE WPL6|SA420-WPL6 SMLS|SA420 WPL6 SMLS"|""
"46"|"LTCS"|"SA420-WPL6 WLD"|"SA420|WPL6|WLD|WP"|"SA420-WPL6|SA420 WPL6|SA420 GR WPL6|SA420 GRADE WPL6|SA420-WPL6 WLD|SA420 WPL6 WLD"|""
"47"|"CR_MO"|"A182-F11"|"A182|F11"|"A182-F11|A182 F11|A182 GR F11|A182 GRADE F11"|"SA182-F11"
"48"|"CR_MO"|"A182-F22"|"A182|F22"|"A182-F22|A182 F22|A182 GR F22|A182 GRADE F22"|"SA182-F22"
"49"|"CR_MO"|"A182-F5"|"A182|F5"|"A182-F5|A182 F5|A182 GR F5|A182 GRADE F5"|"SA182-F5"
"50"|"CR_MO"|"A182-F51"|"A182|F51"|"A182-F51|A182 F51|A182 GR F51|A182 GRADE F51"|"SA182-F51"
"51"|"CR_MO"|"A182-F9"|"A182|F9"|"A182-F9|A182 F9|A182 GR F9|A182 GRADE F9"|"SA182-F9"
"52"|"CR_MO"|"A335-P11 SMLS"|"A335|P11|SMLS"|"A335-P11|A335 P11|A335 GR P11|A335 GRADE P11|A335-P11 SMLS|A335 P11 SMLS"|"SA335-P11"
"53"|"CR_MO"|"A335-P22 SMLS"|"A335|P22|SMLS"|"A335-P22|A335 P22|A335 GR P22|A335 GRADE P22|A335-P22 SMLS|A335 P22 SMLS"|"SA335-P22"
"54"|"CR_MO"|"A335-P5 SMLS"|"A335|P5|SMLS"|"A335-P5|A335 P5|A335 GR P5|A335 GRADE P5|A335-P5 SMLS|A335 P5 SMLS"|"SA335-P5"
"55"|"CR_MO"|"A335-P9 SMLS"|"A335|P9|SMLS"|"A335-P9|A335 P9|A335 GR P9|A335 GRADE P9|A335-P9 SMLS|A335 P9 SMLS"|"SA335-P9"
"56"|"CR_MO"|"SA182-F11"|"SA182|F11"|"SA182-F11|SA182 F11|SA182 GR F11|SA182 GRADE F11"|""
"57"|"CR_MO"|"SA182-F22"|"SA182|F22"|"SA182-F22|SA182 F22|SA182 GR F22|SA182 GRADE F22"|""
"58"|"CR_MO"|"SA182-F5"|"SA182|F5"|"SA182-F5|SA182 F5|SA182 GR F5|SA182 GRADE F5"|""
"59"|"CR_MO"|"SA182-F51"|"SA182|F51"|"SA182-F51|SA182 F51|SA182 GR F51|SA182 GRADE F51"|""
"60"|"CR_MO"|"SA182-F9"|"SA182|F9"|"SA182-F9|SA182 F9|SA182 GR F9|SA182 GRADE F9"|""
"61"|"CR_MO"|"SA335-P11 SMLS"|"SA335|P11|SMLS"|"SA335-P11|SA335 P11|SA335 GR P11|SA335 GRADE P11|SA335-P11 SMLS|SA335 P11 SMLS"|""
"62"|"CR_MO"|"SA335-P22 SMLS"|"SA335|P22|SMLS"|"SA335-P22|SA335 P22|SA335 GR P22|SA335 GRADE P22|SA335-P22 SMLS|SA335 P22 SMLS"|""
"63"|"CR_MO"|"SA335-P5 SMLS"|"SA335|P5|SMLS"|"SA335-P5|SA335 P5|SA335 GR P5|SA335 GRADE P5|SA335-P5 SMLS|SA335 P5 SMLS"|""
"64"|"CR_MO"|"SA335-P9 SMLS"|"SA335|P9|SMLS"|"SA335-P9|SA335 P9|SA335 GR P9|SA335 GRADE P9|SA335-P9 SMLS|SA335 P9 SMLS"|""
"65"|"LOW_ALY"|"A193-B7"|"A193|B7"|"A193-B7|A193 B7|A193 GR B7|A193 GRADE B7"|"SA193-B7"
"66"|"LOW_ALY"|"A194-2H"|"A194|2H"|"A194-2H|A194 2H|A194 GR 2H|A194 GRADE 2H"|"SA194-2H"
"67"|"LOW_ALY"|"SA193-B7"|"SA193|B7"|"SA193-B7|SA193 B7|SA193 GR B7|SA193 GRADE B7"|""
"68"|"LOW_ALY"|"SA194-2H"|"SA194|2H"|"SA194-2H|SA194 2H|SA194 GR 2H|SA194 GRADE 2H"|""
"69"|"SS"|"A182-F304"|"A182|F304"|"A182-F304|A182 F304|A182 GR F304|A182 GRADE F304"|"SA182-F304"
"70"|"SS"|"A182-F304/F304L"|"A182|F304|F304L"|"A182-F304/F304L|A182 F304/F304L|A182 GR F304/F304L|A182 GRADE F304/F304L"|"SA182-F304/F304L|A182-F304/F304"
"71"|"SS"|"A182-F304L"|"A182|F304L"|"A182-F304L|A182 F304L|A182 GR F304L|A182 GRADE F304L"|"SA182-F304L|A182-F304"
"72"|"SS"|"A182-F316"|"A182|F316"|"A182-F316|A182 F316|A182 GR F316|A182 GRADE F316"|"SA182-F316"
"73"|"SS"|"A182-F316/316L"|"A182|F316|316L"|"A182-F316/316L|A182 F316/316L|A182 GR F316/316L|A182 GRADE F316/316L"|"SA182-F316/316L|A182-F316/316"
"74"|"SS"|"A182-F316/F316L"|"A182|F316|F316L"|"A182-F316/F316L|A182 F316/F316L|A182 GR F316/F316L|A182 GRADE F316/F316L"|"SA182-F316/F316L|A182-F316/F316"
"75"|"SS"|"A182-F316L"|"A182|F316L"|"A182-F316L|A182 F316L|A182 GR F316L|A182 GRADE F316L"|"SA182-F316L|A182-F316"
"76"|"SS"|"A182-F317"|"A182|F317"|"A182-F317|A182 F317|A182 GR F317|A182 GRADE F317"|"SA182-F317"
"77"|"SS"|"A182-F317/F317L"|"A182|F317|F317L"|"A182-F317/F317L|A182 F317/F317L|A182 GR F317/F317L|A182 GRADE F317/F317L"|"SA182-F317/F317L|A182-F317/F317"
"78"|"SS"|"A182-F317L"|"A182|F317L"|"A182-F317L|A182 F317L|A182 GR F317L|A182 GRADE F317L"|"SA182-F317L|A182-F317"
"79"|"SS"|"A182-F347"|"A182|F347"|"A182-F347|A182 F347|A182 GR F347|A182 GRADE F347"|"SA182-F347"
"80"|"SS"|"A240-304"|"A240|304"|"A240-304|A240 304|A240 GR 304|A240 GRADE 304"|"SA240-304"
"81"|"SS"|"A240-304/304L"|"A240|304|304L"|"A240-304/304L|A240 304/304L|A240 GR 304/304L|A240 GRADE 304/304L"|"SA240-304/304L|A240-304/304"
"82"|"SS"|"A240-304L"|"A240|304L"|"A240-304L|A240 304L|A240 GR 304L|A240 GRADE 304L"|"SA240-304L|A240-304"
"83"|"SS"|"A240-316"|"A240|316"|"A240-316|A240 316|A240 GR 316|A240 GRADE 316"|"SA240-316"
"84"|"SS"|"A240-316/316L"|"A240|316|316L"|"A240-316/316L|A240 316/316L|A240 GR 316/316L|A240 GRADE 316/316L"|"SA240-316/316L|A240-316/316"
"85"|"SS"|"A240-316L"|"A240|316L"|"A240-316L|A240 316L|A240 GR 316L|A240 GRADE 316L"|"SA240-316L|A240-316"
"86"|"SS"|"A240-317L"|"A240|317L"|"A240-317L|A240 317L|A240 GR 317L|A240 GRADE 317L"|"SA240-317L|A240-317"
"87"|"SS"|"A240-347"|"A240|347"|"A240-347|A240 347|A240 GR 347|A240 GRADE 347"|"SA240-347"
"88"|"SS"|"A312-TP304"|"A312|TP304|TP"|"A312-TP304|A312 TP304|A312 GR TP304|A312 GRADE TP304"|"SA312-TP304"
"89"|"SS"|"A312-TP304 SMLS"|"A312|TP304|SMLS|TP"|"A312-TP304|A312 TP304|A312 GR TP304|A312 GRADE TP304|A312-TP304 SMLS|A312 TP304 SMLS"|"SA312-TP304"
"90"|"SS"|"A312-TP304 WLD"|"A312|TP304|WLD|TP"|"A312-TP304|A312 TP304|A312 GR TP304|A312 GRADE TP304|A312-TP304 WLD|A312 TP304 WLD"|"SA312-TP304"
"91"|"SS"|"A312-TP304/304L"|"A312|TP304|304L|TP"|"A312-TP304/304L|A312 TP304/304L|A312 GR TP304/304L|A312 GRADE TP304/304L"|"SA312-TP304/304L|A312-TP304/304"
"92"|"SS"|"A312-TP304/TP304L"|"A312|TP304|TP304L|TP"|"A312-TP304/TP304L|A312 TP304/TP304L|A312 GR TP304/TP304L|A312 GRADE TP304/TP304L"|"SA312-TP304/TP304L|A312-TP304/TP304"
"93"|"SS"|"A312-TP304/TP304L SMLS"|"A312|TP304|TP304L|SMLS|TP"|"A312-TP304/TP304L|A312 TP304/TP304L|A312 GR TP304/TP304L|A312 GRADE TP304/TP304L|A312-TP304/TP304L SMLS|A312 TP304/TP304L SMLS"|"SA312-TP304/TP304L|A312-TP304/TP304"
"94"|"SS"|"A312-TP304/TP304L WLD"|"A312|TP304|TP304L|WLD|TP"|"A312-TP304/TP304L|A312 TP304/TP304L|A312 GR TP304/TP304L|A312 GRADE TP304/TP304L|A312-TP304/TP304L WLD|A312 TP304/TP304L WLD"|"SA312-TP304/TP304L|A312-TP304/TP304"
"95"|"SS"|"A312-TP304L"|"A312|TP304L|TP"|"A312-TP304L|A312 TP304L|A312 GR TP304L|A312 GRADE TP304L"|"SA312-TP304L|A312-TP304"
"96"|"SS"|"A312-TP304L SMLS"|"A312|TP304L|SMLS|TP"|"A312-TP304L|A312 TP304L|A312 GR TP304L|A312 GRADE TP304L|A312-TP304L SMLS|A312 TP304L SMLS"|"SA312-TP304L|A312-TP304"
"97"|"SS"|"A312-TP304L WLD"|"A312|TP304L|WLD|TP"|"A312-TP304L|A312 TP304L|A312 GR TP304L|A312 GRADE TP304L|A312-TP304L WLD|A312 TP304L WLD"|"SA312-TP304L|A312-TP304"
"98"|"SS"|"A312-TP316 SMLS"|"A312|TP316|SMLS|TP"|"A312-TP316|A312 TP316|A312 GR TP316|A312 GRADE TP316|A312-TP316 SMLS|A312 TP316 SMLS"|"SA312-TP316"
"99"|"SS"|"A312-TP316/316L"|"A312|TP316|316L|TP"|"A312-TP316/316L|A312 TP316/316L|A312 GR TP316/316L|A312 GRADE TP316/316L"|"SA312-TP316/316L|A312-TP316/316"
"100"|"SS"|"A312-TP316/316L SMLS"|"A312|TP316|316L|SMLS|TP"|"A312-TP316/316L|A312 TP316/316L|A312 GR TP316/316L|A312 GRADE TP316/316L|A312-TP316/316L SMLS|A312 TP316/316L SMLS"|"SA312-TP316/316L|A312-TP316/316"
"101"|"SS"|"A312-TP316/316L WLD"|"A312|TP316|316L|WLD|TP"|"A312-TP316/316L|A312 TP316/316L|A312 GR TP316/316L|A312 GRADE TP316/316L|A312-TP316/316L WLD|A312 TP316/316L WLD"|"SA312-TP316/316L|A312-TP316/316"
"102"|"SS"|"A312-TP316L SMLS"|"A312|TP316L|SMLS|TP"|"A312-TP316L|A312 TP316L|A312 GR TP316L|A312 GRADE TP316L|A312-TP316L SMLS|A312 TP316L SMLS"|"SA312-TP316L|A312-TP316"
"103"|"SS"|"A312-TP317"|"A312|TP317|TP"|"A312-TP317|A312 TP317|A312 GR TP317|A312 GRADE TP317"|"SA312-TP317"
"104"|"SS"|"A312-TP317 SMLS"|"A312|TP317|SMLS|TP"|"A312-TP317|A312 TP317|A312 GR TP317|A312 GRADE TP317|A312-TP317 SMLS|A312 TP317 SMLS"|"SA312-TP317"
"105"|"SS"|"A312-TP317 WLD"|"A312|TP317|WLD|TP"|"A312-TP317|A312 TP317|A312 GR TP317|A312 GRADE TP317|A312-TP317 WLD|A312 TP317 WLD"|"SA312-TP317"
"106"|"SS"|"A312-TP317/TP317L"|"A312|TP317|TP317L|TP"|"A312-TP317/TP317L|A312 TP317/TP317L|A312 GR TP317/TP317L|A312 GRADE TP317/TP317L"|"SA312-TP317/TP317L|A312-TP317/TP317"
"107"|"SS"|"A312-TP317/TP317L SMLS"|"A312|TP317|TP317L|SMLS|TP"|"A312-TP317/TP317L|A312 TP317/TP317L|A312 GR TP317/TP317L|A312 GRADE TP317/TP317L|A312-TP317/TP317L SMLS|A312 TP317/TP317L SMLS"|"SA312-TP317/TP317L|A312-TP317/TP317"
"108"|"SS"|"A312-TP317/TP317L WLD"|"A312|TP317|TP317L|WLD|TP"|"A312-TP317/TP317L|A312 TP317/TP317L|A312 GR TP317/TP317L|A312 GRADE TP317/TP317L|A312-TP317/TP317L WLD|A312 TP317/TP317L WLD"|"SA312-TP317/TP317L|A312-TP317/TP317"
"109"|"SS"|"A312-TP317L"|"A312|TP317L|TP"|"A312-TP317L|A312 TP317L|A312 GR TP317L|A312 GRADE TP317L"|"SA312-TP317L|A312-TP317"
"110"|"SS"|"A312-TP317L SMLS"|"A312|TP317L|SMLS|TP"|"A312-TP317L|A312 TP317L|A312 GR TP317L|A312 GRADE TP317L|A312-TP317L SMLS|A312 TP317L SMLS"|"SA312-TP317L|A312-TP317"
"111"|"SS"|"A312-TP317L WLD"|"A312|TP317L|WLD|TP"|"A312-TP317L|A312 TP317L|A312 GR TP317L|A312 GRADE TP317L|A312-TP317L WLD|A312 TP317L WLD"|"SA312-TP317L|A312-TP317"
"112"|"SS"|"A312-TP347"|"A312|TP347|TP"|"A312-TP347|A312 TP347|A312 GR TP347|A312 GRADE TP347"|"SA312-TP347"
"113"|"SS"|"A312-TP347 SMLS"|"A312|TP347|SMLS|TP"|"A312-TP347|A312 TP347|A312 GR TP347|A312 GRADE TP347|A312-TP347 SMLS|A312 TP347 SMLS"|"SA312-TP347"
"114"|"SS"|"A312-TP347 WLD"|"A312|TP347|WLD|TP"|"A312-TP347|A312 TP347|A312 GR TP347|A312 GRADE TP347|A312-TP347 WLD|A312 TP347 WLD"|"SA312-TP347"
"115"|"SS"|"A351-CF8M"|"A351|CF8M"|"A351-CF8M|A351 CF8M|A351 GR CF8M|A351 GRADE CF8M"|"SA351-CF8M"
"116"|"SS"|"A403-WP304"|"A403|WP304|WP"|"A403-WP304|A403 WP304|A403 GR WP304|A403 GRADE WP304"|"SA403-WP304"
"117"|"SS"|"A403-WP304 SMLS"|"A403|WP304|SMLS|WP"|"A403-WP304|A403 WP304|A403 GR WP304|A403 GRADE WP304|A403-WP304 SMLS|A403 WP304 SMLS"|"SA403-WP304"
"118"|"SS"|"A403-WP304 WLD"|"A403|WP304|WLD|WP"|"A403-WP304|A403 WP304|A403 GR WP304|A403 GRADE WP304|A403-WP304 WLD|A403 WP304 WLD"|"SA403-WP304"
"119"|"SS"|"A403-WP304/WP304L"|"A403|WP304|WP304L|WP"|"A403-WP304/WP304L|A403 WP304/WP304L|A403 GR WP304/WP304L|A403 GRADE WP304/WP304L"|"SA403-WP304/WP304L|A403-WP304/WP304"
"120"|"SS"|"A403-WP304/WP304L SMLS"|"A403|WP304|WP304L|SMLS|WP"|"A403-WP304/WP304L|A403 WP304/WP304L|A403 GR WP304/WP304L|A403 GRADE WP304/WP304L|A403-WP304/WP304L SMLS|A403 WP304/WP304L SMLS"|"SA403-WP304/WP304L|A403-WP304/WP304"
"121"|"SS"|"A403-WP304/WP304L WLD"|"A403|WP304|WP304L|WLD|WP"|"A403-WP304/WP304L|A403 WP304/WP304L|A403 GR WP304/WP304L|A403 GRADE WP304/WP304L|A403-WP304/WP304L WLD|A403 WP304/WP304L WLD"|"SA403-WP304/WP304L|A403-WP304/WP304"
"122"|"SS"|"A403-WP304L"|"A403|WP304L|WP"|"A403-WP304L|A403 WP304L|A403 GR WP304L|A403 GRADE WP304L"|"SA403-WP304L|A403-WP304"
"123"|"SS"|"A403-WP304L SMLS"|"A403|WP304L|SMLS|WP"|"A403-WP304L|A403 WP304L|A403 GR WP304L|A403 GRADE WP304L|A403-WP304L SMLS|A403 WP304L SMLS"|"SA403-WP304L|A403-WP304"
"124"|"SS"|"A403-WP304L WLD"|"A403|WP304L|WLD|WP"|"A403-WP304L|A403 WP304L|A403 GR WP304L|A403 GRADE WP304L|A403-WP304L WLD|A403 WP304L WLD"|"SA403-WP304L|A403-WP304"
"125"|"SS"|"A403-WP316/316L"|"A403|WP316|316L|WP"|"A403-WP316/316L|A403 WP316/316L|A403 GR WP316/316L|A403 GRADE WP316/316L"|"SA403-WP316/316L|A403-WP316/316"
"126"|"SS"|"A403-WP316/316L WLD"|"A403|WP316|316L|WLD|WP"|"A403-WP316/316L|A403 WP316/316L|A403 GR WP316/316L|A403 GRADE WP316/316L|A403-WP316/316L WLD|A403 WP316/316L WLD"|"SA403-WP316/316L|A403-WP316/316"
"127"|"SS"|"A403-WP316/WP316L"|"A403|WP316|WP316L|WP"|"A403-WP316/WP316L|A403 WP316/WP316L|A403 GR WP316/WP316L|A403 GRADE WP316/WP316L"|"SA403-WP316/WP316L|A403-WP316/WP316"
"128"|"SS"|"A403-WP316L"|"A403|WP316L|WP"|"A403-WP316L|A403 WP316L|A403 GR WP316L|A403 GRADE WP316L"|"SA403-WP316L|A403-WP316"
"129"|"SS"|"A403-WP316L SMLS"|"A403|WP316L|SMLS|WP"|"A403-WP316L|A403 WP316L|A403 GR WP316L|A403 GRADE WP316L|A403-WP316L SMLS|A403 WP316L SMLS"|"SA403-WP316L|A403-WP316"
"130"|"SS"|"A403-WP317L"|"A403|WP317L|WP"|"A403-WP317L|A403 WP317L|A403 GR WP317L|A403 GRADE WP317L"|"SA403-WP317L|A403-WP317"
"131"|"SS"|"A403-WP317L SMLS"|"A403|WP317L|SMLS|WP"|"A403-WP317L|A403 WP317L|A403 GR WP317L|A403 GRADE WP317L|A403-WP317L SMLS|A403 WP317L SMLS"|"SA403-WP317L|A403-WP317"
